DOI,ISSN [Scopus],eISSN [Scopus],Journal [Scopus],Score [Altmetric],News [Altmetric],Facebook [Altmetric],Blogs [Altmetric],Google+ [Altmetric],Twitter [Altmetric],Subjects [Altmetric],Cite count [Scopus],SJR,SNIP
10.1186/s13742-016-0126-5,,,,,,,,,,,,,
10.1371/journal.pone.0068535,,,,,,,,,,,,,
-,,,,,,,,,,,,,
10.1093/bioinformatics/btu024,,,,,,,,,,,,,
10.1098/rstb.2015.0337,,,,,,,,,,,,,
